country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
South Africa,"Eenzaamheid—Dutch for solitude—is named in honor of the isolated vineyard that the grapes for this wine are sourced from. It leads with forward aromas of brambly forest berry, game and tree bark, alongside soft hints of cocoa and coffee. Medium weight with a ripe, fruity mouthfeel and earthy pepper notes that remain through the finish. Well balanced and structured; drink now–2016.",Eenzaamheid,91,37,Paarl,,Fairview 2009 Eenzaamheid Shiraz (Paarl),Shiraz,Fairview,2009,"Paarl,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.741667,18.975,106,61,14,750,Red,Vineyard Brands
Argentina,"Earthy up front, with roasted, smoky berry aromas and herbal accents. Feels good, with tomato, red plum, leaf, herb and oaky flavors. Turns more juicy and rugged as it opens, with a light green character to the finish.",Centenario Reserve,86,14,Other,San Juan,Graffigna 2009 Centenario Reserve Malbec (San Juan),Malbec,Graffigna,2009,"San Juan,Other,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-47.18603,-66.310761,72,38,13.5,750,Red,Pernod Ricard
Austria,"Miso paste cuts through with yeasty, salty richness set against wonderfully sharp citric freshness lends serious thrill to this textured, layered Grüner. There is more to come on the aromatic front in future years, even though it will take a lot of resistance not to drink it right now.",Lamm Reserve,91,65,Kamptal,,Hirsch 2013 Lamm Reserve Gruner Veltliner (Kamptal),Grüner Veltliner,Hirsch,2013,"Kamptal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,49,13,750,White,"Skurnik Wines, Inc"
United States of America,"Layers of sweet orange marmalade, citrus rind and pollen mingle seamlessly into this deliciously honeyed ice wine. Intensely ripe, almost creamy in texture, its succulent sweetness is balanced neatly by a dazzling spray of tangerine acidity.",Ice,92,25,New York,Finger Lakes,Standing Stone 2014 Ice Riesling (Finger Lakes),Riesling,Standing Stone,2014,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,36,11.4,375,Dessert,not_imported
United States of America,"The Muscat Canelli in the blend really stands out, offering tangerine aromas and flavors. But additional fruit and spice complexities are offered by Sauvignon Blanc and Viognier, among other varieties. Crisply acidic and dry, this is an outstanding white wine, and a versatile one at the table. Sommeliers, buy this by the case.",White,89,10,California,California,Big House 2007 White White (California),White Blend,Big House,2007,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,53,13.5,750,White,not_imported
Australia,"Not that much Hunter Shiraz makes it to the U.S. these days, but this bottling from Wyndham Estate is a nice example. It shows rather clean winemaking, with strong vanilla and cedar notes from barrel aging to go alongside blueberry and blackberry fruit. Only mildly tannic, so it's approachable now, but should age through at least 2012.",Black Cluster,89,35,New South Wales,Hunter Valley,Wyndham Estate 2003 Black Cluster Shiraz (Hunter Valley),Shiraz,Wyndham Estate,2003,"Hunter Valley,New South Wales,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-36.44167,144.506543,126,57,13.5,750,Red,Pernod Ricard
United States of America,"This wine shows quite a bit of tropicality on the nose, with lychee and kiwi fruits, yet manages to remain restrained at the same time. It's soft on the palate, with white peach flesh, and shows a very intriguing herbal side, with tarragon and mint flavors, but not in a green pepper way at all.",,89,24,California,Santa Barbara County,Consilience 2012 Viognier (Santa Barbara County),Viognier,Consilience,2012,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,34.713653,-119.985823,934,55,14.7,750,White,not_imported
Argentina,"Hot and rubbery on the nose, and while it doesn't smell bad it doesn't persuade you to go further. The palate has size, but it's not smooth as the acids dominate. And the flavors of berry and cherry are generic and almost impossible to identify as Syrah. Forgettable wine with tartness.",,83,18,Mendoza Province,Mendoza,Lagarde 2008 Syrah (Mendoza),Syrah,Lagarde,2008,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,51,14,750,Red,Well-Oiled Wine Company
Germany,"A hint of honeysuckle perfume lends flair to this dry, easy-quaffing Riesling. It's fairly straightforward on the palate, with fresh apple and lemon flavors, but brisk and bright, with pineapple acidity and a swathe of fresh herbs on the finish.",Grey Slate Dry,87,18,Mosel,,Schmitges 2011 Grey Slate Dry Riesling (Mosel),Riesling,Schmitges,2011,"Mosel,Germany",7.677911351,16.99427104,5.988472622,77.46859794,41.7467436,12.88818694,50.366929,7.583098,64,40,12.5,750,White,Magellan Wine Imports
Chile,"Lightly vegetal aromas suggest asparagus. This feels round and chunky but not lazy or flabby. Flavors of citrus and citrus peel include bitter notes, while this tastes outright pithy on the finish. Drink now.",Ilaia,85,11,Central Valley,,Vina Marty 2014 Ilaia Sauvignon Blanc (Central Valley),Sauvignon Blanc,Viña Marty,2014,"Central Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-23.122392,-69.540424,1385,34,13.5,750,White,Wines & Beyond Import
Germany,"Lean and crisp, with lime and green apple notes that finish clean and refreshing. Devoid of much sweetness, this is a relentlessly dry Riesling, linear in profile and sharply focused.",Estate Dry,87,15,Mosel,,Von Schleinitz 2009 Estate Dry Riesling (Mosel),Riesling,Von Schleinitz,2009,"Mosel,Germany",7.677911351,16.99427104,5.988472622,77.46859794,41.7467436,12.88818694,50.366929,7.583098,64,30,11.5,750,White,Scoperta Importing Co. Inc
United States of America,"Produced by Three Rivers for celebrity winemaker Geoff Tate, this new Insania is a full-on Bordeaux blend, with all five red grapes in the mix. It's a powerful wine, with heavy metal flavors of deep black fruits and thick tannins. Pair it with a juicy steak or Kobe beef burger and rock on.",Insania Merlot-Cabernet Sauvignon-Petit Verdot-Malbec-Cabernet Franc,91,35,Washington,Columbia Valley (WA),Geoff Tate 2010 Insania Merlot-Cabernet Sauvignon-Petit Verdot-Malbec-Cabernet Franc Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Geoff Tate,2010,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,53,14.8,750,Red,not_imported
United States of America,"A 100% varietal wine from near the town of Glen Ellen, this is a healthy marriage of power and grace. The wine is fiery in leathery tannin and full-bodied blackberry ripeness laced in cinnamon and black pepper. Aged in new French oak, it's structured and age-worthy, though quite enjoyable now.",Estate Grown,90,32,California,Sonoma Valley,Dunbar 2013 Estate Grown Zinfandel (Sonoma Valley),Zinfandel,Dunbar,2013,"Sonoma Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.285056,-122.421257,63,50,14.9,750,Red,not_imported
Australia,"This is a simple, cherry-dominated fruity quaff at a realistic price. It's only light to medium in body, with crisp acids and a bit of tannic astringency on the finish.",The Long Paddock,83,10,Victoria,Victoria,Redbank 2007 The Long Paddock Shiraz (Victoria),Shiraz,Redbank,2007,"Victoria,Victoria,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-37.923636,145.138543,72,30,14,750,Red,Negociants USA-The Winebow Group
United States of America,"Merry Edwards nailed this one. Lush and smooth as velvet, it shows enormously deep, ripe blackberry, cherry, raspberry, leather, cola, soy-splashed Portobello, vanilla and cinnamon spice flavors. But it's also a very young wine, to judge from the freshness of acids and tannins. Drink now, with decanting, and should age well for up to a decade.",Olivet Lane Méthode a l'Ancienne,94,60,California,Russian River Valley,Merry Edwards 2005 Olivet Lane Methode a l'Ancienne Pinot Noir (Russian River Valley),Pinot Noir,Merry Edwards,2005,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,56,14.3,750,Red,not_imported
New Zealand,"Bright, fresh and inviting, with floral and herbal notes upfront, complemented by tart pomegranate and cranberry fruit on the palate. Drink this medium-bodied wine over the next few years.",Map Maker,87,23,Marlborough,,Staete Landt 2014 Map Maker Pinot Noir (Marlborough),Pinot Noir,Staete Landt,2014,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,29,13.5,750,Red,The Henry Wine Group
United States of America,"An interesting comparison to the previous vintage, this wine has a point and a half more alcohol, with a rich, substantial mouthfeel. Ripe citrus fruit, light tropical fruit and full, open flavors are found on the palate. Drink this while in its youth, and let the previous vintage age another couple of years.",Her Silhouette,90,22,Oregon,Willamette Valley,Amalie Robert 2012 Her Silhouette Chardonnay (Willamette Valley),Chardonnay,Amalie Robert,2012,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,53,13.6,750,White,not_imported
Portugal,"The Cambres vineyard sits on the hills just to the south of the Douro river, giving a rich, perfumed style of wood-aged wine. This is structured, with a dry core and big black fruits that will soften and come together. Drink this solid, ripe wine from 2017.",Reserva,90,13,Douro,,Casa de Cambres 2009 Reserva Red (Douro),Portuguese Red,Casa de Cambres,2009,"Douro,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,41.170042,-7.30475,567,47,13.5,750,Red,Kysela Pere et Fils
Argentina,"Sweet apple aromas are probably the most defined thing coming off the innocuous nose, while the palate is forceful and citrusy, with jangly pineapple, peach and lemon flavors. Amplified white wine with a vague Viognier identity.",Altas Cumbres,84,10,Mendoza Province,Luján de Cuyo,Lagarde 2009 Altas Cumbres Viognier (Lujan de Cuyo),Viognier,Lagarde,2009,"Luján de Cuyo,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-33.108686,-69.018449,1110,36,14,750,White,New World Wines
Spain,"Slightly rubbery on first impression, but cleaner and better as it opens up. Zesty and full of acidic punch, with juicy black cherry and plum flavors. Registers as healthy and ripe, with a spot of medicinality. Quite good for the price.",,86,8,Northern Spain,Navarra,Vega Sindoa 2009 Tempranillo (Navarra),Tempranillo,Vega Sindoa,2009,"Navarra,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.54084,0.031656,1176,41,13.5,750,Red,Fine Estates From Spain
United States of America,"This wine is aromatically untoward, with notes of green herbs, bell pepper, dried tobacco and black pepper. The flavors are silky in feel and show decent concentration along with tart acids.",,82,22,Idaho,,Fujishin 2012 Mourvedre,Mourvèdre,Fujishin,2012,"Idaho,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.644764,-114.015407,2258,31,14.2,750,Red,not_imported
Chile,"Plump, slightly stewy aromas of blackberry and cassis are just shy of fresh. This hot-vintage, beefy Cab is bulky and low on acidity, but friendly and easygoing. Flavors of jammy, baked blackberry fold in chocolaty richness in front of a slightly syrupy finish. Drink through 2017.",Raíces Nobles,89,20,Maipo Valley,,Ochagavia 2012 Raices Nobles Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Ochagavia,2012,"Maipo Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.732865,-70.781236,453,46,14.5,750,Red,Carolina Wine Brands USA
Chile,"Solid from front to back. The nose is your normal mix of cassis, blackberry, latex glove and licorice nibs, while the palate runs hard and condensed, with ripe black fruit flavors. A little clacky and tough on the tongue and cheeks, but true as you can ask for from a Colchagua Cabernet.",Axel,89,20,Colchagua Valley,,La Playa 2007 Axel Cabernet Sauvignon (Colchagua Valley),Cabernet Sauvignon,La Playa,2007,"Colchagua Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-34.534176,-71.414537,162,52,14,750,Red,Cabernet Corporation
United States of America,"More useful than rich, this Cab is dry and full-bodied, with blackberry, black currant, herb and smoky oak flavors. Drink now.",,86,22,California,Sonoma Valley,Kunde 2006 Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Kunde,2006,"Sonoma Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.285056,-122.421257,63,21,13.8,750,Red,not_imported
Spain,"Earthy and deep as midnight, with spice, floral notes, herbal aromas, tobacco and mocha. The palate is super rich, almost to the point of syrupy, with blackberry, brown sugar and coffee flavors. Finishes chewy, ripe and deep, with no harshness or tannic grind. Drink now through 2013.",,94,95,Catalonia,Priorat,Vall Llach 2006 Red (Priorat),Red Blend,Vall Llach,2006,"Priorat,Catalonia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,41.213798,0.811624,340,47,15.5,750,Red,Folio Fine Wine Partners
Chile,"Herbal berry, cassis and mint aromas open this classic Maipo Cabernet. Racy acidity and firm tannins make for a structured mouthfeel, while plum, currant, spice and light herbal notes finish loamy. Drink now.",Reserva de Familia,90,20,Maipo Valley,,Santa Carolina 2013 Reserva de Familia Cabernet Sauvignon (Maipo Valley),Cabernet Sauvignon,Santa Carolina,2013,"Maipo Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.732865,-70.781236,453,33,13.8,750,Red,Carolina Wine Brands USA
